Sun, 18 Dec 2016 14:15:58 GMT, >, /aaa.html, GET /aaa.html HTTP/1.0
Sun, 18 Dec 2016 14:15:58 GMT, <, /aaa.html, HTTP/1.0 200 OK
Sun, 18 Dec 2016 14:15:58 GMT, >, null, Rabble rabble
Sun, 18 Dec 2016 14:15:58 GMT, <, null, HTTP/1.0 400 Bad Request
Sun, 18 Dec 2016 14:15:58 GMT, >, /index.html, HEAD /index.html HTTP/1.0
Sun, 18 Dec 2016 14:15:58 GMT, <, /index.html, HTTP/1.0 200 OK
Sun, 18 Dec 2016 14:15:58 GMT, >, /index.html, GET /index.html HTTP/1.0
Sun, 18 Dec 2016 14:15:58 GMT, <, /index.html, HTTP/1.0 304 Not modified
Sun, 18 Dec 2016 14:15:58 GMT, >, /index.html, GET /index.html HTTP/1.0
Sun, 18 Dec 2016 14:15:58 GMT, <, /index.html, HTTP/1.0 304 Not modified
Sun, 18 Dec 2016 14:15:58 GMT, >, /index.html, GET /index.html HTTP/1.0
Sun, 18 Dec 2016 14:15:58 GMT, <, /index.html, HTTP/1.0 304 Not modified
Sun, 18 Dec 2016 14:15:58 GMT, >, /index.html, POST /index.html HTTP/1.0
Sun, 18 Dec 2016 14:15:58 GMT, <, /index.html, HTTP/1.0 200 OK
Sun, 18 Dec 2016 14:15:58 GMT, >, /index.html, GET /index.html
Sun, 18 Dec 2016 14:15:58 GMT, <, /index.html, This is a simple request
Sun, 18 Dec 2016 14:15:58 GMT, >, /aaa.html, POST /aaa.html HTTP/1.0
Sun, 18 Dec 2016 14:15:58 GMT, <, /aaa.html, HTTP/1.0 200 OK
Sun, 18 Dec 2016 14:15:58 GMT, >, /page1.html, HEAD /page1.html HTTP/1.0
Sun, 18 Dec 2016 14:15:58 GMT, <, /page1.html, HTTP/1.0 200 OK
Sun, 18 Dec 2016 14:15:58 GMT, >, /page1.html, POST /page1.html HTTP/1.0
Sun, 18 Dec 2016 14:15:58 GMT, <, /page1.html, HTTP/1.0 200 OK
Sun, 18 Dec 2016 14:17:24 GMT, >, /index.html, GET /index.html HTTP/1.0
Sun, 18 Dec 2016 14:17:24 GMT, <, /index.html, HTTP/1.0 200 OK
Sun, 18 Dec 2016 14:17:24 GMT, >, /index.html, Rabble /index.html HTTP/1.0
Sun, 18 Dec 2016 14:17:24 GMT, <, /index.html, HTTP/1.0 501 Rabble Not Implemented
Sun, 18 Dec 2016 14:17:24 GMT, >, /aaa.html, HEAD /aaa.html HTTP/1.0
Sun, 18 Dec 2016 14:17:24 GMT, <, /aaa.html, HTTP/1.0 404 Not Found
Sun, 18 Dec 2016 14:17:24 GMT, >, /index.html, GET /index.html HTTP/1.0
Sun, 18 Dec 2016 14:17:24 GMT, <, /index.html, HTTP/1.0 200 OK
Sun, 18 Dec 2016 14:17:24 GMT, >, /aaa.html, GET /aaa.html HTTP/1.0
Sun, 18 Dec 2016 14:17:24 GMT, <, /aaa.html, HTTP/1.0 404 Not Found
Sun, 18 Dec 2016 14:17:24 GMT, >, null, Rabble rabble
Sun, 18 Dec 2016 14:17:24 GMT, <, null, HTTP/1.0 400 Bad Request
Sun, 18 Dec 2016 14:17:24 GMT, >, /index.html, HEAD /index.html HTTP/1.0
Sun, 18 Dec 2016 14:17:24 GMT, <, /index.html, HTTP/1.0 200 OK
Sun, 18 Dec 2016 14:17:24 GMT, >, /index.html, GET /index.html HTTP/1.0
Sun, 18 Dec 2016 14:17:24 GMT, <, /index.html, HTTP/1.0 304 Not modified
Sun, 18 Dec 2016 14:17:24 GMT, >, /index.html, GET /index.html HTTP/1.0
Sun, 18 Dec 2016 14:17:24 GMT, <, /index.html, HTTP/1.0 304 Not modified
Sun, 18 Dec 2016 14:17:24 GMT, >, /index.html, GET /index.html HTTP/1.0
Sun, 18 Dec 2016 14:17:24 GMT, <, /index.html, HTTP/1.0 304 Not modified
Sun, 18 Dec 2016 14:17:24 GMT, >, /index.html, POST /index.html HTTP/1.0
Sun, 18 Dec 2016 14:17:24 GMT, <, /index.html, HTTP/1.0 200 OK
Sun, 18 Dec 2016 14:17:24 GMT, >, /index.html, GET /index.html
Sun, 18 Dec 2016 14:17:24 GMT, <, /index.html, This is a simple request
Sun, 18 Dec 2016 14:17:24 GMT, >, /aaa.html, POST /aaa.html HTTP/1.0
Sun, 18 Dec 2016 14:17:24 GMT, <, /aaa.html, HTTP/1.0 201 Created
Sun, 18 Dec 2016 14:17:24 GMT, >, /page1.html, HEAD /page1.html HTTP/1.0
Sun, 18 Dec 2016 14:17:24 GMT, <, /page1.html, HTTP/1.0 200 OK
Sun, 18 Dec 2016 14:17:24 GMT, >, /page1.html, POST /page1.html HTTP/1.0
Sun, 18 Dec 2016 14:17:24 GMT, <, /page1.html, HTTP/1.0 200 OK
